context,target,split
", or the",frankenstein,train
frankenstein or the modern,",",train
"frankenstein , the modern prometheus",or,train
"frankenstein , or modern prometheus by",the,train
", or the prometheus by mary",modern,train
or the modern by mary wollstonecraft,prometheus,train
the modern prometheus mary wollstonecraft godwin,by,train
modern prometheus by wollstonecraft godwin shelley,mary,train
prometheus by mary godwin shelley letter,wollstonecraft,train
by mary wollstonecraft shelley letter st,godwin,train
mary wollstonecraft godwin letter st .,shelley,train
wollstonecraft godwin shelley st . petersburgh,letter,train
"godwin shelley letter . petersburgh ,",st,train
"shelley letter st petersburgh , dec",.,train
"letter st . , dec .",petersburgh,train
st . petersburgh dec . th,",",train
". petersburgh , . th ,",dec,train
"petersburgh , dec th , to",.,train
", dec . , to mrs",th,train
dec . th to mrs .,",",train
". th , mrs . saville",to,train
"th , to . saville ,",mrs,train
", to mrs saville , england",.,train
"to mrs . , england you",saville,train
mrs . saville england you will,",",train
". saville , you will rejoice",england,train
"saville , england will rejoice to",you,train
", england you rejoice to hear",will,train
england you will to hear that,rejoice,train
you will rejoice hear that no,to,train
will rejoice to that no disaster,hear,train
rejoice to hear no disaster has,that,train
to hear that disaster has accompanied,no,train
hear that no has accompanied the,disaster,train
that no disaster accompanied the commencement,has,train
no disaster has the commencement of,accompanied,train
disaster has accompanied commencement of an,the,train
has accompanied the of an enterprise,commencement,train
accompanied the commencement an enterprise which,of,train
the commencement of enterprise which you,an,train
commencement of an which you have,enterprise,train
of an enterprise you have regarded,which,train
an enterprise which have regarded with,you,train
enterprise which you regarded with such,have,train
which you have with such evil,regarded,train
you have regarded such evil forebodings,with,train
have regarded with evil forebodings .,such,train
regarded with such forebodings . ,evil,train
with such evil . ,forebodings,train
such evil forebodings ,.,train
evil forebodings .,,train
arrived here yesterday,i,train
"i here yesterday ,",arrived,train
"i arrived yesterday , and",here,train
"i arrived here , and my",yesterday,train
arrived here yesterday and my first,",",train
"here yesterday , my first task",and,train
"yesterday , and first task is",my,train
", and my task is to",first,train
and my first is to assure,task,train
my first task to assure my,is,train
first task is assure my dear,to,train
task is to my dear sister,assure,train
is to assure dear sister of,my,train
to assure my sister of my,dear,train
assure my dear of my welfare,sister,train
my dear sister my welfare and,of,train
dear sister of welfare and increasing,my,train
sister of my and increasing confidence,welfare,train
of my welfare increasing confidence in,and,train
my welfare and confidence in the,increasing,train
welfare and increasing in the success,confidence,train
and increasing confidence the success of,in,train
increasing confidence in success of my,the,train
confidence in the of my undertaking,success,train
in the success my undertaking .,of,train
the success of undertaking . ,my,train
success of my . ,undertaking,train
of my undertaking ,.,train
my undertaking .,,train
am already far,i,train
i already far north,am,train
i am far north of,already,train
i am already north of london,far,train
"am already far of london ,",north,train
"already far north london , and",of,train
"far north of , and as",london,train
north of london and as i,",",train
"of london , as i walk",and,train
"london , and i walk in",as,train
", and as walk in the",i,train
and as i in the streets,walk,train
as i walk the streets of,in,train
i walk in streets of petersburgh,the,train
"walk in the of petersburgh ,",streets,train
"in the streets petersburgh , i",of,train
"the streets of , i feel",petersburgh,train
streets of petersburgh i feel a,",",train
"of petersburgh , feel a cold",i,train
"petersburgh , i a cold northern",feel,train
", i feel cold northern breeze",a,train
i feel a northern breeze play,cold,train
feel a cold breeze play upon,northern,train
a cold northern play upon my,breeze,train
cold northern breeze upon my cheeks,play,train
"northern breeze play my cheeks ,",upon,train
"breeze play upon cheeks , which",my,train
"play upon my , which braces",cheeks,train
upon my cheeks which braces my,",",train
"my cheeks , braces my nerves",which,train
"cheeks , which my nerves and",braces,train
", which braces nerves and fills",my,train
which braces my and fills me,nerves,train
braces my nerves fills me with,and,train
my nerves and me with delight,fills,train
nerves and fills with delight .,me,train
and fills me delight . ,with,train
fills me with . ,delight,train
me with delight ,.,train
with delight .,,train
you understand this,do,train
do understand this feeling,you,train
do you this feeling ?,understand,train
do you understand feeling ? ,this,train
you understand this ? ,feeling,train
understand this feeling ,?,train
this feeling ?,,train
"breeze , which",this,train
"this , which has",breeze,train
this breeze which has travelled,",",train
"this breeze , has travelled from",which,train
"breeze , which travelled from the",has,train
", which has from the regions",travelled,train
which has travelled the regions towards,from,train
has travelled from regions towards which,the,train
travelled from the towards which i,regions,train
from the regions which i am,towards,train
the regions towards i am advancing,which,train
"regions towards which am advancing ,",i,train
"towards which i advancing , gives",am,train
"which i am , gives me",advancing,train
i am advancing gives me a,",",train
"am advancing , me a foretaste",gives,train
"advancing , gives a foretaste of",me,train
", gives me foretaste of those",a,train
gives me a of those icy,foretaste,train
me a foretaste those icy climes,of,train
a foretaste of icy climes .,those,train
foretaste of those climes . ,icy,train
of those icy . ,climes,train
those icy climes ,.,train
icy climes .,,train
by this wind,inspirited,train
inspirited this wind of,by,train
inspirited by wind of promise,this,train
"inspirited by this of promise ,",wind,train
"by this wind promise , my",of,train
"this wind of , my daydreams",promise,train
wind of promise my daydreams become,",",train
"of promise , daydreams become more",my,train
"promise , my become more fervent",daydreams,train
", my daydreams more fervent and",become,train
my daydreams become fervent and vivid,more,train
daydreams become more and vivid .,fervent,train
become more fervent vivid . ,and,train
more fervent and . ,vivid,train
fervent and vivid ,.,train
and vivid .,,train
try in vain,i,train
i in vain to,try,train
i try vain to be,in,train
i try in to be persuaded,vain,train
try in vain be persuaded that,to,train
in vain to persuaded that the,be,train
